FID,Shape *,FID_newpon,First_Trea,Area,FID_Total_,OBJECTID,fea_type,mslink,No_bill,Proposed,Notes,FEA_AREA,ShapeSTAre,ShapeSTLen,BUILDINGFO,SOURCE,FootprintT,BuildingUs,BuildingCl,Name,Shape_STAr,Shape_STLe,Shape_Leng,Shape_Area,ImpArea,,Tot Imperv
134,Polygon ZM,0,PD 2348-002,58228826.73,6477,6477,P,5990, , , ,10249.39706,10249.3971,571.104087,0, , , , , ,0,0,0.001831,0,19191.96419,,
135,Polygon ZM,0,PD 2348-002,58228826.73,6503,6503,V,0, , ,NULL POLY AFTER BUILD,3791.316712,3791.316681,1049.902409,0, , , , , ,0,0,0.003407,0,6484.083962,,
136,Polygon ZM,0,PD 2348-002,58228826.73,6584,6584,B,6033, , , ,10026.00781,10026.0079,577.017984,0, , , , , ,0,0,0.001866,0,1044.267944,,
137,Polygon ZM,0,PD 2348-002,58228826.73,6598,6598,M,4301, , , ,10001.10023,10001.10025,398.885393,0, , , , , ,0,0,0.001348,0,18743.59818,,
138,Polygon ZM,0,PD 2348-002,58228826.73,6628,6628,B,6031, , , ,9938.113056,9938.113037,403.918926,0, , , , , ,0,0,0.001278,0,706.75647,,
139,Polygon ZM,0,PD 2348-002,58228826.73,6635,6635,B,3300, , , ,9931.490219,9931.490143,445.64053,0, , , , , ,0,0,0.001441,0,490.029334,,
140,Polygon ZM,0,PD 2348-002,58228826.73,6676,6676,P,5983, , , ,9818.884222,9818.884155,570.568309,0, , , , , ,0,0,0.001994,0,18400.25089,,
141,Polygon ZM,0,PD 2348-002,58228826.73,6687,6687,S,114227, , , ,9795.973578,9795.973602,3610.194932,0, , , , , ,0,0,0.01246,0,18368.33662,,
142,Polygon ZM,0,PD 2348-002,58228826.73,6726,6726,B,3291, , , ,9721.779781,9721.779816,532.914565,0, , , , , ,0,0,0.001691,0,1735.067897,,
143,Polygon ZM,0,PD 2348-002,58228826.73,6835,6835,B,4408, , , ,9480.528179,9480.528198,467.112743,0, , , , , ,0,0,0.001534,0,879.736613,,
144,Polygon ZM,0,PD 2348-002,58228826.73,6854,6854,V,4479, , , ,9409.447513,9409.447479,396.296942,0, , , , , ,0,0,0.001195,0,13363.44043,,
145,Polygon ZM,0,PD 2348-002,58228826.73,6867,6867,S,2293919, , , ,9183.580873,9183.581207,2334.325133,0, , , , , ,0,0,0.007924,0,17031.80682,,
146,Polygon ZM,0,PD 2348-002,58228826.73,6938,6938,B,37861, , , ,9231.933052,9231.933197,639.844972,0, , , , , ,0,0,0.002015,0,1218.609084,,
147,Polygon ZM,0,PD 2348-002,58228826.73,6964,6964,B,37863, , , ,9189.388904,9189.388763,638.012132,0, , , , , ,0,0,0.002127,0,572.87575,,
148,Polygon ZM,0,PD 2348-002,58228826.73,6966,6966,B,5996, , , ,9188.069961,9188.070007,538.592258,0, , , , , ,0,0,0.001797,0,653.957472,,
149,Polygon ZM,0,PD 2348-002,58228826.73,7032,7032,B,5809, , , ,9083.405852,9083.405853,583.371742,0, , , , , ,0,0,0.001896,0,588.145259,,
150,Polygon ZM,0,PD 2348-002,58228826.73,7088,7088,B,3288, , , ,8986.080082,8986.080078,466.746518,0, , , , , ,0,0,0.001456,0,269.379952,,
151,Polygon ZM,0,PD 2348-002,58228826.73,7094,7094,B,37781, , , ,8975.412687,8975.412628,573.10062,0, , , , , ,0,0,0.001865,0,389.336923,,
152,Polygon ZM,0,PD 2348-002,58228826.73,7102,7102,B,4465, , , ,8946.347293,8946.347321,402.154678,0, , , , , ,0,0,0.001316,0,618.826821,,
153,Polygon ZM,0,PD 2348-002,58228826.73,7105,7105,B,37865, , , ,8940.151696,8940.151642,572.083201,0, , , , , ,0,0,0.001856,0,174.921452,,
154,Polygon ZM,0,PD 2348-002,58228826.73,7120,7120,B,38551, , , ,8915.534423,8915.534454,489.563375,0, , , , , ,0,0,0.001508,0,1283.534456,,
