FID_main__,DN,area,perimeter,FID_Pond_W,Shape_Leng,Shape_Area,Watershed_,Percent_Pe,Percent_Im,Calc_Area,
155447,255,66.60083008,56.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,66.58793184,
155631,255,2.879882813,7.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,2.879485303,
155718,255,23.39990234,24,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,23.39574494,
155965,255,42.84008789,31.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,42.83226396,
156101,255,4298.044922,1137.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,783.8106572,
156162,255,29.52050781,26.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,29.51466936,
156319,255,16.91992188,19.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,16.91695627,
156370,255,51.48046875,33.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,51.47069999,
156380,255,8.280029297,13.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,8.278555993,
156442,255,780.1201172,189.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,535.4289243,
156549,255,208.4399414,79.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,208.403912,
156634,255,41.04052734,31.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,41.03256715,
156651,255,15.12011719,18,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,15.11728354,
156664,255,59.04003906,39.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,59.02925763,
156669,255,488.880127,186,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,448.0309911,
156680,255,138.6008301,81.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,138.5749137,
156718,255,542.1591797,277.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,542.0620116,
156762,255,358.920166,136.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,358.8536424,
156797,255,2303.640625,556.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,242.9651787,
